obs,None,X21,X21.4,X21.4.2,X21.4.2.1,X21.4.1.3
1,0.162,0.107,0.21,2.042,*,*
2,0.193,0.593,1.332,*,*,12.175
3,0.126,0.122,0.333,0.403,21.16,*
4,0.304,0.539,*,*,*,*
5,0.003,0.012,0.004,0.006,0.006,0.001
6,0.021,0.037,0.019,0.031,0.033,0.021
7,0.042,0.05,0.007,0.01,0.008,0.003
8,0.015,0.014,0.01,0.023,0.034,0.056
9,0.043,0.04,0.01,0.009,0.002,0.028
10,0.028,0.008,0.013,0.03,0.049,0.05
11,0.028,0.008,0.013,0.03,0.049,0.05
12,0.062,0.009,0.002,0.009,0.019,0.028
13,0.001,0.044,0.107,0.177,0.19,0.213
14,0.002,0.019,0.034,0.053,0.055,0.068
15,0.002,0.007,0.005,0.005,0.002,0.006
16,0.002,0.001,0.007,0.019,0.035,0.027
17,0.004,0,0,0.001,0.003,0.003
18,0.004,0,0,0.001,0.003,0.003
19,0.008,0.001,0.008,0.011,0.007,0.006
20,0.008,0.01,0.037,0.078,0.117,0.088
21,0.699,*,*,*,*,*
