obs,None,X21,X21.4,X21.4.2,X21.4.2.1,X21.4.1.3
1,0.409,0.421,0.421,0.727,*,*
2,0.409,0.421,0.421,*,*,0.993
3,0.176,0.199,0.201,0.308,0.983,*
4,0.191,0.192,*,*,*,*
5,0.103,0.108,0.125,0.125,0.125,0.131
6,0.134,0.134,0.164,0.164,0.165,0.169
7,0.191,0.192,0.238,0.238,0.24,0.242
8,0.191,0.192,0.238,0.238,0.24,0.242
9,0.163,0.17,0.206,0.208,0.218,0.208
10,0.139,0.175,0.175,0.176,0.179,0.179
11,0.139,0.175,0.175,0.176,0.179,0.179
12,0.212,0.272,0.275,0.276,0.278,0.28
13,0.139,0.175,0.175,0.176,0.179,0.179
14,0.092,0.11,0.111,0.111,0.116,0.113
15,0.188,0.189,0.191,0.191,0.195,0.193
16,0.188,0.189,0.191,0.191,0.195,0.193
17,0.187,0.195,0.195,0.195,0.198,0.197
18,0.187,0.195,0.195,0.195,0.198,0.197
19,0.212,0.232,0.234,0.234,0.236,0.237
20,0.064,0.064,0.069,0.07,0.076,0.07
21,0.288,*,*,*,*,*
