obs,None,X21,X21.4,X21.4.2,X21.4.2.1,X21.4.1.3
1,0.97,0.77,1.08,-1.75,*,*
2,-1.06,-1.81,-2.71,*,*,0.57
3,1.53,1.4,2.3,1.9,1.21,*
4,2.27,3.01,*,*,*,*
5,-0.31,-0.63,-0.31,-0.4,-0.4,-0.12
6,-0.73,-0.97,-0.62,-0.8,-0.82,-0.64
7,-0.84,-0.92,-0.3,-0.35,-0.31,-0.18
8,-0.5,-0.48,0.36,0.54,0.66,0.84
9,-0.94,-0.89,-0.39,-0.36,-0.18,-0.66
10,0.84,0.38,0.49,0.75,0.94,0.96
11,0.84,0.38,0.49,0.75,0.94,0.96
12,0.96,0.31,0.16,0.3,0.45,0.53
13,-0.17,-0.91,-1.42,-1.82,-1.87,-1.98
14,-0.25,-0.79,-1.04,-1.31,-1.29,-1.46
15,0.17,0.34,0.29,0.29,0.19,0.32
16,-0.17,-0.1,-0.35,-0.57,-0.76,-0.67
17,-0.26,-0.01,-0.01,-0.1,-0.23,-0.21
18,-0.26,-0.01,-0.01,-0.1,-0.23,-0.21
19,-0.35,0.09,0.33,0.38,0.31,0.27
20,0.68,0.75,1.42,2.04,2.38,2.16
21,-2.63,*,*,*,*,*
